Candidate,Tweet,Year,Party
HillaryClinton,"No child should ever have to grow up in poverty, yet far too many do. We have to do better. Here's how: https://t.co/Qo1RmQDwd6",2016,Democrat
HillaryClinton,"""You would think there is almost, like, something wrong."" —Donald Trump on Mitt Romney failing to release his tax r… https://t.co/VzUQByCN2A",2016,Democrat
HillaryClinton,Going to bat for kids who are too often counted out has always been a priority for Hillary. https://t.co/lTxRVn3NBM,2016,Democrat
HillaryClinton,".@TimKaine is more than just a great running mate—he's a great guy to have as a friend, too. https://t.co/5WX2qYgUjC",2016,Democrat
HillaryClinton,We need a president who sees the best in all of us. https://t.co/vX0Oycto1Q,2016,Democrat
HillaryClinton,"Happy anniversary! 4 years ago today, Romney released his 2011 tax returns (which Trump urged him to do). Where are… https://t.co/Aho8vMnwSP",2016,Democrat
HillaryClinton,"A disability shouldn't define your future.

At @ChildDefender, Hillary helped give kids the chance to succeed. https://t.co/jaMcdARYn1",2016,Democrat
HillaryClinton,"We believe that everyone has value.
We believe that everyone's created equal.
We believe that love trumps hate.
https://t.co/tTgeqxNqYm",2016,Democrat
HillaryClinton,We'll make our economy and country more welcoming to people with disabilities. We all win when everyone gets to share in America's promise.,2016,Democrat
HillaryClinton,"The ultimate test of our society is how we treat our fellow human beings, especially those who we have previously left behind.",2016,Democrat
HillaryClinton,Americans with disabilities deserve the chance to work alongside those without disabilities—to do the same jobs for the same pay &amp; benefits.,2016,Democrat
HillaryClinton,"We’ve got to build an economy that welcomes people with disabilities, values their work, rewards them fairly, and treats them with respect.",2016,Democrat
HillaryClinton,Over 60% of adults with disabilities aren’t in the workplace. We have to fix that. https://t.co/J3Jq21ejtR,2016,Democrat
HillaryClinton,The ADA and the notion that workplaces and public spaces belong to everyone was one that Democrats and Republicans could both get behind.,2016,Democrat
HillaryClinton,None of us gets through life alone. We all have to look out for each other and lift each other up.,2016,Democrat
HillaryClinton,One of Hillary's first jobs out of law school was to find out why kids with disabilities weren't in school. https://t.co/vPMCYQmbls,2016,Democrat
HillaryClinton,"Not that long ago, if you had a disability, it defined your entire life. Basic, essential things that others could do, you couldn’t.",2016,Democrat
HillaryClinton,"It's still legal to pay disabled workers less than the minimum wage and Clinton announces her plan to end that:
https://t.co/vEgIqMkmmg",2016,Democrat
HillaryClinton,"Building an inclusive economy is another reason we’ve got to break down systemic racism, including under-investment in communities of color.",2016,Democrat
HillaryClinton,"When we leave people out or write them off, we not only shortchange them and their dreams, we shortchange our country and our future.",2016,Democrat
HillaryClinton,"In America, every person, no matter what you look like or who you are, should have the chance to go as far as your dreams will take you.",2016,Democrat
HillaryClinton,"We need to come together to turn the tide, stop violence, build trust, and give all our kids the chance to grow up safe and healthy.",2016,Democrat
HillaryClinton,We've also seen the targeting of police officers—but so many serve every day with courage and honor and are committed to reform.,2016,Democrat
HillaryClinton,"We have two names to add to a long list of African Americans killed by police officers. It’s unbearable, and it needs to become intolerable.",2016,Democrat
HillaryClinton,Live from Orlando: Watch Hillary share her plan for building an inclusive economy that helps everyone get ahead → https://t.co/IX06FtcZG8,2016,Democrat
HillaryClinton,Every student should be able to graduate from college without taking on any debt. https://t.co/1aWqDOKh7p https://t.co/KHguTDbKW9,2016,Democrat
HillaryClinton,Keith Lamont Scott. Terence Crutcher. Too many others. This has got to end. -H,2016,Democrat
HillaryClinton,"Have student debt? 
Planning for college?
See how much money Hillary's plan would save you:
https://t.co/fiXgr6S3Ye https://t.co/B8PCks6yXL",2016,Democrat
HillaryClinton,FACT: Donald Trump used his charitable foundation to purchase *multiple* six-foot-tall paintings of himself. https://t.co/tDeBH37w7h,2016,Democrat
HillaryClinton,"A real headline about the Republican nominee: ""Trump used $258,000 from his charity to settle legal problems."" https://t.co/2LRtZB3Ri2",2016,Democrat
HillaryClinton,"Four months from today, our next president will walk into the Oval Office.

Help make sure it's not Donald Trump: https://t.co/Gxp2QdeIhH",2016,Democrat
HillaryClinton,"On this day in 1973, tennis champion Billie Jean King defeated Bobby Riggs in the “Battle of the Sexes.” https://t.co/G06Ol90j1O",2016,Democrat
HillaryClinton,"""You can leave this ad muted—there's nothing to hear."" —@NyleDiMarco

https://t.co/tTgeqxNqYm https://t.co/QOqcWnw7OJ",2016,Democrat
HillaryClinton,"Help get out the vote for Hillary (plus, get a free sticker when you sign up!): https://t.co/v4rISVHYuG",2016,Democrat
HillaryClinton,Trump’s calls to torture and mistreat prisoners go against the very values we are fighting to defend. We’re better than this.,2016,Democrat
HillaryClinton,Donald hasn't given his own money to the Trump Foundation since 2008—but it's still paying his bills. https://t.co/2LRtZB3Ri2,2016,Democrat
HillaryClinton,It's time to tell @WellsFargo that Wall Street works for Main Street—not the other way around. https://t.co/mYuTS4qgF4,2016,Democrat
